Qty;Value;Device;Package;Parts;Description;COLOR;OC_REICHELT;OC_FARNELL;PRICE;PRICE_SUM
1;;31-XX;B3F-31XX;S1;OMRON SWITCH;;TASTER 3305B;;0,13 €;0,13 €
1;;ML10;ML10;SV1;HARTING;;WSL 10G;;0,08 €;0,08 €
9;100n;C-EUC0805;C0805;C2, C5, C7, C8, C15, C16, C17, C18, C19;CAPACITOR, European symbol;;X7R-G0805 100N;;0,03 €;0,23 €
1;10k;R-EU_R0805;R0805;R2;RESISTOR, European symbol;;SMD-0805 10,0K;;0,03 €;0,03 €
2;10n;C-EUC0805;C0805;C1, C4;CAPACITOR, European symbol;;X7R-G0805 10N;;0,01 €;0,02 €
2;10µ;C-EUC0805;C0805;C3, C13;CAPACITOR, European symbol;;KEM X5R0805 10U;;0,04 €;0,08 €
2;180;R-EU_R0805;R0805;R8, R9;RESISTOR, European symbol;;SMD-0805 180;;0,03 €;0,05 €
1;1k;R-EU_R0805;R0805;R1;RESISTOR, European symbol;;SMD-0805 1,00K;;0,03 €;0,03 €
2;1µ;C-EUC0805;C0805;C9, C10;CAPACITOR, European symbol;;X7R-G0805 1,0/25;;0,04 €;0,08 €
2;270;R-EU_R0805;R0805;R3, R4;RESISTOR, European symbol;;SMD-0805 270;;0,03 €;0,05 €
1;4µ7;C-EUC0805;C0805;C6;CAPACITOR, European symbol;;Y5V 0805 DC 4,7U;;0,03 €;0,03 €
1;AKL18X-04W;AKL18X-04W;AKL182-04;X3;Riacon AKL18X Steckverbinder;;AKL 182-04;;0,46 €;0,46 €
1;CRE1S0505S3C;NME;NME;DC2;DC-DC CONVERTER;;ROM-0505S;;6,30 €;6,30 €
1;FT232RL;FT232RL;SSOP28;IC10;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf;;FT 232 RL;;2,69 €;2,69 €
1;IL0512S;NME;NME;DC1;DC-DC CONVERTER;;RI-0512S;;6,89 €;6,89 €
1;IRF7416;P-MOSFET-SO8;SO-08;Q1;P-Channel MOSFET;;IRF 7416;;0,39 €;0,39 €
3;MAX14932;MAX14932;SO16;IC7, IC8, IC9;;;;2528540;2,62 €;7,86 €
1;MCP1700T-1802E;MCP170X;SOT23;IC2;;;;1296591;0,32 €;0,32 €
1;MINI-USB-32005-201;MINI-USB-32005-201;32005-201;X2;MINI USB-B Conector;;USB BWM SMD;;0,24 €;0,24 €
1;NCP1117-33ST;NCP1117-33ST;SOT223;IC1;;;NCP 1117 ST33T3G;;0,24 €;0,24 €
1;PWR;LEDCHIPLED_0603;CHIPLED_0603;LED1;LED;GN;EVL 19-21SYGC;;0,06 €;0,06 €
1;RX;LEDCHIPLED_0603;CHIPLED_0603;LED2;LED;GN;EVL 19-21SYGC;;0,06 €;0,06 €
1;TX;LEDCHIPLED_0603;CHIPLED_0603;LED3;LED;RD;RND 135-00045;;0,05 €;0,05 €
1;TXEN;LEDCHIPLED_0603;CHIPLED_0603;LED4;LED;YE;RND 135-00046;;0,05 €;0,05 €
1;USBLC6-2;WE-TVS_82400102;WE-TVS_SOT23-6L;D1;TVS Diode Array WE-TVS, High Speed Series;;;1295310;0,28 €;0,28 €
1;WE-CBF_0805;WE-CBF_0805;805;L10;SMD EMI Suppression Ferrite Beads WE-CBF;;BLM21PG 300;;0,04 €;0,04 €
;;;;;;;;;;
;;;;;;;;;;26,75 €
